TRU310/2,1.1,2840,105,460,527,225,658,229,96,400,255,292,325,8,258,185,328,255,251,200,40,930,1330,1700,2150,2700
TRU350/2,2.2,2850,115,530,600,255,740,253,107,450,285,332,365,8,288,205,368,285,276,225,67,1330,1900,2400,3050,3850
TRU400/2,4,2910,127,630,655,285,815,286,118,500,320,366,400,8,322,229,402,309,324,280,105,1900,2700,3450,4250,5400
TRU450/2,7.5,2890,140,670,735,320,915,321,131,560,360,405,440,8,361,256,441,336,374,320,150,2700,3850,4750,6150,7650
TRU500/2,11,2930,159,830,832,360,1000,355,148,600,405,448,485,12,404,288,484,368,444,435,230,3850,4750,6850,8500,10800
TRU500/4,1.1,1390,159,580,832,360,1000,355,148,600,405,448,485,12,404,288,484,368,276,225,128,1900,2700,3450,4250,5400
TRU560/2R,15,2935,180,880,940,400,1126,390,165,670,455,497,535,12,453,322,533,402,444,435,282,5400,6850,8500,10800,13500
TRU560/2,18.5,2935,180,880,940,400,1126,390,165,670,455,497,535,12,453,322,533,402,444,435,292,5400,7650,9500,12800,15300
TRU560/4,2.2,1420,180,705,940,400,1126,390,165,670,455,497,535,12,453,322,533,402,324,280,138,2700,3850,4750,6150,7650
TRU630/2R,30,2960,200,1080,1052,450,1260,439,185,750,505,551,585,12,507,361,587,441,568,500,380,7650,9500,12800,15300,19000
TRU630/2,37,2960,200,1080,1052,450,1260,439,185,750,505,551,585,12,507,361,587,441,568,500,390,7650,10800,13500,17000,21600
TRU630/4,4,1425,200,775,1052,450,1260,439,185,750,505,551,585,12,507,361,587,441,324,280,175,3850,4750,6850,8500,10800
TRU710/4R,5.5,1440,221,880,1189,500,1416,500,202,850,565,629,665,12,569,404,669,504,826,320,270,5400,6850,8500,10800,13500
TRU710/4,7.5,1450,221,920,1189,500,1416,500,202,850,565,629,665,12,569,404,669,504,826,320,281,5400,7650,9500,12800,15300
TRU800/4R,9.2,1460,246,940,1340,560,1591,560,226,950,635,698,735,12,638,453,738,553,926,320,327,7650,9500,12800,15300,19000
TRU800/4,15,1450,246,1010,1340,560,1591,560,226,950,635,698,735,12,638,453,738,553,926,435,397,7650,10800,13500,17000,21600
TRU900/4R,18.5,1470,277,1110,1500,630,1780,630,253,1060,715,775,815,16,715,507,815,607,1026,480,416,10800,13500,17000,21600,27000
TRU900/4,30,1470,277,1230,1500,630,1780,630,253,1060,715,775,815,16,715,507,815,607,1026,500,671,10800,15300,19000,24200,30600
TRU900/6,7.5,965,277,1070,1500,630,1780,630,253,1060,715,775,815,16,715,507,815,607,1026,435,486,7650,10800,13500,17000,21600
TRU1000/4R,37,1475,308,1295,1685,710,1993,710,284,1180,805,861,905,16,801,569,921,689,1128,550,749,15300,19000,24200,30600,38200
TRU1000/6R,11,965,308,1190,1685,710,1993,710,284,1180,805,861,905,16,801,569,921,689,1128,435,612,10800,13500,17000,21600,27000
TRU1000/6,15,965,308,1230,1685,710,1993,710,284,1180,805,861,905,16,801,569,921,689,1128,480,642,10800,15300,19000,24200,30600
TRU1120/6R,18.5,970,343,1390,1884,800,2222,800,319,1320,905,958,1005,16,898,638,1018,758,1268,500,967,15300,19000,24200,30600,38200
TRU1120/6,22,970,343,1390,1884,800,2222,800,319,1320,905,958,1005,16,898,638,1018,758,1268,550,987,15300,21600,27000,34200,42500
VPMR350/N2R1,0.75,2830,71,370,535,250,615,205,63,355,185,219,250,8,166,117,236,187,251,180,32,360,576,792,1044,1296
