TRM450;7.5;2900;141;670;735;320;915;321;131;560;320;366;400;8;361;256;441;336;374;320;158;3060;4250;5400;6850;8500;;372;346;320;260;170;;85;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-320-7.5-2;320
TRM500/2R;11;2900;157;830;832;360;1000;355;148;600;360;405;440;8;404;288;484;368;444;435;235;3850;5400;6850;9500;12000;;392;377;328;227;120;;89;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-360-11-2;360
TRM500/2;15;2900;157;830;832;360;1000;355;148;600;360;405;440;8;404;288;484;368;444;435;246;3850;5400;6850;9500;12000;;448;432;382;283;180;;89;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-360-15-2;360
TRM500/4R;1.1;1440;157;580;832;360;1000;355;148;600;360;405;440;8;404;288;484;368;276;225;133;1900;2700;3450;4250;5400;;89;83;75;63;42;;68;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-360-1.1-4;360
TRM500/4;1.5;1440;157;615;832;360;1000;355;148;600;360;405;440;8;404;288;484;368;276;225;135;1900;2700;3450;4250;5400;;102;97;86;75;54;;69;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-360-1.5-4;360
TRM560/2R;15;2900;177;880;940;400;1126;390;165;670;405;448;485;12;453;322;533;402;444;435;286;5400;6850;9500;12000;15300;;480;460;375;292;200;;88;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-405-15-2;405
TRM560/2;18.5;2900;177;935;940;400;1126;390;165;670;405;448;485;12;453;322;533;402;490;480;315;5400;6850;9500;12000;17000;;489;479;410;341;151;;89;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-405-18.5-2;405
TRM560/4R;2.2;1440;177;705;940;400;1126;390;165;670;405;448;485;12;453;322;533;402;324;280;141;2700;3450;4250;5400;7650;;114;112;101;88;53;;71;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-405-2.2-4;405
TRM560/4;3;1440;177;705;940;400;1126;390;165;670;405;448;485;12;453;322;533;402;324;280;145;2700;3450;4250;5400;7650;;130;127;120;104;70;;72;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-405-3-4;405
TRM630/4R;4;1440;195;775;1053;450;1260;439;185;750;455;497;535;12;507;361;587;441;324;280;178;3850;5400;7650;9500;12000;;148;138;123;98;57;;75;backward curved fan, medium-range, medium pressure;for clean air, dust, sawdust, chips or granules to the exclusion of long fibers;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;1-455-4-4;455
