TZM450/2R;9.2;2900;141;698;735;320;915;321;131;560;320;366;400;8;361;256;441;336;372;300;142;3500;4300;5400;6200;6850;;334;328;317;315;310;;86;opened blade fan, medium-range, low pressure;for dust air,woodchips,fibrous materials;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;7-320-9.2-2;320
TZM450/2;11;2920;141;834;735;320;915;321;131;560;320;366;400;8;361;256;441;336;440;415;198;3500;4300;5400;6850;7200;;375;365;358;340;335;;87;opened blade fan, medium-range, low pressure;for dust air,woodchips,fibrous materials;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;7-320-11-2;320
TZM450/4;1.5;1400;141;566;735;320;915;321;131;560;320;366;400;8;361;256;441;336;260;205;106;1550;2200;2750;3500;4300;;75;73;71;65;55;;71;opened blade fan, medium-range, low pressure;for dust air,woodchips,fibrous materials;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;7-320-1.5-4;320
TZM500/2R;15;2925;157;866;832;360;1000;355;148;600;360;405;440;8;404;288;484;368;440;415;222;4300;5400;6850;7200;8300;;370;360;353;344;337;;90;opened blade fan, medium-range, low pressure;for dust air,woodchips,fibrous materials;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;7-360-15-2;360
TZM500/2;22;2930;157;866;832;360;1000;355;148;600;360;405;440;8;404;288;484;368;488;460;274;4300;6200;7200;9400;12000;;378;367;360;335;285;;91;opened blade fan, medium-range, low pressure;for dust air,woodchips,fibrous materials;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;7-360-22-2;360
TZM500/4R;2.2;1420;157;668;832;360;1000;355;148;600;360;405;440;8;404;288;484;368;324;250;126;2200;2750;3500;4000;4300;;84;82;78;74;69;;72;opened blade fan, medium-range, low pressure;for dust air,woodchips,fibrous materials;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;7-360-2.2-4;360
TZM500/4;3;1430;157;668;832;360;1000;355;148;600;360;405;440;8;404;288;484;368;324;250;134;2200;3100;4000;4700;6200;;95;92;90;80;70;;74;opened blade fan, medium-range, low pressure;for dust air,woodchips,fibrous materials;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;7-360-3-4;360
TZM560/4R;4;1425;177;712;940;400;1126;390;165;670;405;448;485;12;453;322;533;402;324;250;148;3100;4000;4700;5400;6200;;104;102;100;92;88;;75;opened blade fan, medium-range, low pressure;for dust air,woodchips,fibrous materials;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;7-405-4-4;405
TZM560/4;5.5;1440;177;777;940;400;1126;390;165;670;405;448;485;12;453;322;533;402;372;300;175;3100;4300;5400;6850;8300;;118;114;110;98;82;;76;opened blade fan, medium-range, low pressure;for dust air,woodchips,fibrous materials;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;7-405-5.5-4;405
TZM630/4R;7.5;1450;195;816;1052;450;1260;439;185;750;455;497;535;12;507;361;587;441;372;300;200;4320;5400;6850;7200;8300;;131;127;121;116;109;;78;opened blade fan, medium-range, low pressure;for dust air,woodchips,fibrous materials;Built in painted sheet iron, impeller statically and dynamically balanced;according to ISO standards, three phase electric motor 400 Volt 50Hz IP55 ;cl isol.F trop. IE2;outlet flange               inlet flange             flexible outlet                   flexible inlet;shock absorbers        inspection door         drain plug                inlet protection grid;;7-455-7.5-4;455
